"Here are the results! We had 76 competitors for the Event, and 44 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
23,TO,CSP,Clint Child,00 acura/integra r,59.866, ,69.686, ,60.284, ,59.881, ,59.866, ,50.108, ,898,,,,
24,TO,DS,John Ellis,00 Toyota/Celica,64.524, ,63.260, ,64.281, ,63.328, ,63.260, ,50.228, ,896,,,,
25,TO,SS,Stephen Peterson,01 Chevrolet/Vette,DNF, ,63.607, ,64.946,(2),60.214, ,60.214, ,50.339, ,894,,,,
26,TO,DM,Don Sattler,94 Mazda/Miata,57.346, ,78.247,(20),DNF, ,DNF, ,57.346, ,50.809, ,886,,,,
27,TO,SM,Olin Tweed,92 honda/civic,64.174,(2),82.842,(20),60.648, ,65.424,(4),60.648, ,50.823, ,886,,,,
28,TO,SM,David Harsay,00 Ford/Mustang GT,60.979, ,60.747, ,93.273,(24),60.981, ,60.747, ,50.906, ,884,,,,
29,TO,AS,Chris Groppi,04 Subaru/WRX STi,61.577, ,64.666, ,62.166, ,65.419,(2),61.577, ,50.986, ,883,,,,
30,TO,STX,Lee Mayer,95 VW/Jetta,64.300, ,66.732,(2),65.062, ,67.400,(2),64.300, ,51.119, ,881,,,,
31,TO,SM,Jimmy Cantano,98 Acura/Integra,62.496, ,61.449, ,61.012, ,64.791, ,61.012, ,51.128, ,880,,,,
32,TO,DS,Jamal Brewer,04 Dodge/SRT-4,67.299, ,75.410, ,64.744, ,83.247,(20),64.744, ,51.407, ,876,,,,
33,TO,BSP,Art Ehman,65 Factory Five/Roadster,61.429, ,67.035, ,61.929, ,63.026,(2),61.429, ,51.539, ,873,,,,
34,TO,AS,Jeff Williams,02 BMW/M-Roadster,64.329, ,71.960,(2),62.758, ,64.239, ,62.758, ,51.964, ,866,,,,
35,TO,SM,John Raskob,90 Mitsubishi/Eclipse,62.989, ,63.160, ,64.305, ,62.168, ,62.168, ,52.097, ,864,,,,
36,TO,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,65.210, ,66.299,(2),63.491, ,65.671,(2),63.491, ,52.317, ,860,,,,
37,TO,GS,Lindsay Holbrook,04 VW/GTI,69.060, ,67.725, ,69.788,(2),71.809,(2),67.725, ,52.893, ,851,,,,
38,TO,AS,Dennis Walsh,97 Acura/NSX,64.396, ,65.169, ,65.206, ,63.907, ,63.907, ,52.915, ,851,,,,
39,TO,DSP,Hunter McDonald,91 Honda/Civic,64.904, ,68.461,(4),DNF, ,65.702, ,64.904, ,53.156, ,847,,,,
40,TO,AS,Dirk Prather,02 Subaru/WRX,86.234,(20),66.150, ,64.205, ,65.737, ,64.205, ,53.162, ,847,,,,
41,TO,SM,Jerimiah Taylor,95 Chevrolet/Camaro,67.572,(2),64.976, ,63.978, ,65.572,(2),63.978, ,53.614, ,840,,,,
42,TO,CSP,Drew Wood,92 Mazda/Miata,67.624, ,65.106, ,65.090, ,64.710, ,64.710, ,54.162, ,831,,,,
43,TO,ASP,Greg Mondeau,00 BMW/M roadster,68.527, ,68.981,(2),67.439, ,67.338, ,67.338, ,57.103, ,788,,,,
44,TO,DSP,James Wood,99 Hyundai/Tiburon,70.573, ,70.683,(2),70.017,(2),69.866,(2),69.866, ,57.220, ,787,,,,
