"Here are the results! We had 97 competitors for the Event, and 39 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
21,street,FSP,William Skiles,73 MG/Midget,119.304,(24),99.847,(20),89.952, ,DNF, ,89.952,95,73.131,94,728,,,,
1,TO,HS,Dawn Maxwell,02 MINI/Cooper,71.211,(2),69.875, ,72.940,(4),DNS, ,69.875, ,54.223, ,981,,,,
2,TO,AS,Dave McCombs,04 honda/s2000,65.911, ,68.781,(2),65.734, ,DNS, ,65.734, ,54.428, ,978,,,,
3,TO,STX,Mike Quigley,02 subaru/wrx,73.891,(4),69.100, ,68.506, ,DNS, ,68.506, ,54.462, ,977,,,,
4,TO,SS,Steve Eymann,03 Chevrolet/Corvette Z06,65.431,(2),85.808,(20),65.405,(2),DNS, ,65.405, ,54.679, ,973,,,,
5,TO,ASP,Mindi Cross,65 Lotus/Elan,65.592, ,64.687, ,66.531,(2),DNS, ,64.687, ,54.855, ,970,,,,
6,TO,SS,Larry Petrucci,01 Chevrolet/ Corvette ZO6,71.634,(4),70.199,(4),65.732, ,DNS, ,65.732, ,54.952, ,968,,,,
7,TO,STS,David Rock,03 Toyota/Celica GTS,77.860,(8),70.580,(2),69.775,(2),DNS, ,69.775, ,55.192, ,964,,,,
8,TO,DS,David Vasquez,03 BMW/330i,73.984,(2),70.117, ,70.800,(2),DNS, ,70.117, ,55.673, ,956,,,,
9,TO,GS,Chris Sparling,02 Saab/9-3,71.919, ,74.223, ,DNF, ,DNS, ,71.919, ,56.169, ,947,,,,
10,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,72.473, ,72.420, ,71.631,(2),DNS, ,71.631, ,56.660, ,939,,,,
11,TO,SS,Joel Schotz,01 Chevrolet/ Corvette ZO6,67.823,(2),70.157,(4),67.987,(2),DNS, ,67.823, ,56.700, ,939,,,,
12,TO,DS,Brian Peters,03 Lexus/IS300,71.413,(2),76.787,(2),76.523,(2),DNS, ,71.413, ,56.702, ,939,,,,
13,TO,SS,Newton Johnson,04 Corvette/Z06,69.255, ,69.865,(2),67.868, ,DNS, ,67.868, ,56.738, ,938,,,,
14,TO,GS,Brad Owen,01 Nissan/Sentra,72.864, ,75.240,(2),74.127, ,DNS, ,72.864, ,56.907, ,935,,,,
15,TO,STX,Jeff Braciak,01 Pontiac/Firebird V6,73.328,(2),78.259,(4),72.354, ,DNS, ,72.354, ,57.521, ,925,,,,
16,TO,SS,Elvis Presley,05 Lotus/Elise,69.234, ,71.546,(2),70.680,(2),DNS, ,69.234, ,57.880, ,919,,,,
