The Spring series for 2003 is a best 3 out of 4 event series.,,,,,,,,,,,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,MAR ,APR ,TOTAL,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,,,,,,
1,STX,Joshua Sortor, ,936,950,929,2815,,,,,,,,,,
2,DS,Jeff Deerinwater,929,924,949,902,2802,,,,,,,,,,
3,STX,Todd Houser,929,943, ,919,2791,,,,,,,,,,
4,CS,John Wisthoff,888,904,907,845,2699,,,,,,,,,,
5,STS,Jonathan Kelly,884,856,812, ,2552,,,,,,,,,,
6,STX,Jamie Duffy,855,821, ,815,2491,,,,,,,,,,
7,HS,Eddy Rogers, ,834,843,810,2487,,,,,,,,,,
8,STS,John Sandoval, ,803,848,834,2485,,,,,,,,,,
9,SpecFJr,Jamie Baker, ,580,625,832,2037,,,,,,,,,,
10,STS,Fernando Ma, , ,851,846,1697,,,,,,,,,,
11,STX,Trave Colton,783,832, , ,1615,,,,,,,,,,
12,AS,Merrill Niles,813, ,782, ,1595,,,,,,,,,,
13,GS,Luke Moore,832,642, , ,1474,,,,,,,,,,
14,HS,Justin Callaghan, ,684,783, ,1467,,,,,,,,,,
15,BS,Matt Smith,903, , , ,903,,,,,,,,,,
16,GS,Bill Peake,889, , , ,889,,,,,,,,,,
17,STS,Matt Smith, , ,884, ,884,,,,,,,,,,
18,STS,Steven Chavez,883, , , ,883,,,,,,,,,,
19,STS,Mike Demrovsky, , ,883, ,883,,,,,,,,,,
20,STS,Mike Boisvert,881, , , ,881,,,,,,,,,,
21,GS,John Painter, , ,877, ,877,,,,,,,,,,
22,HS,Lee Mayer,870, , , ,870,,,,,,,,,,
23,HS,Chris Peterson, , ,865, ,865,,,,,,,,,,
24,DS,Ryan Davis, ,862, , ,862,,,,,,,,,,
25,BS,Richard Lang,859, , , ,859,,,,,,,,,,
26,ES,Jeremy Jones,859, , , ,859,,,,,,,,,,
27,HS,David Rios, , ,848, ,848,,,,,,,,,,
28,AS,Jim Gregory,847, , , ,847,,,,,,,,,,
29,ES,Matt Smith,844, , , ,844,,,,,,,,,,
30,SM,Pete Murray, , ,841, ,841,,,,,,,,,,
31,EM,Bill Schroeder,837, , , ,837,,,,,,,,,,
32,CS,William Sloan, , ,831, ,831,,,,,,,,,,
33,HS,Colin Tisdale, ,828, , ,828,,,,,,,,,,
34,ES,Jace Kelley, ,827, , ,827,,,,,,,,,,
35,BS,Michael Hornisher, ,824, , ,824,,,,,,,,,,
36,STS,Karl Yoerns, , ,824, ,824,,,,,,,,,,
37,DSP,Mike Demrovsky, ,811, , ,811,,,,,,,,,,
38,FSP,Nic Foster, , ,811, ,811,,,,,,,,,,
39,ESP,Justin Williams, ,809, , ,809,,,,,,,,,,
40,BS,Jonathan Castillo, ,803, , ,803,,,,,,,,,,
41,STS,Ryan Kanto, ,800, , ,800,,,,,,,,,,
42,BS,Gary Goodrich Sr, , , ,783,783,,,,,,,,,,
43,CSP,Matt Smith, , , ,782,782,,,,,,,,,,
44,ESP,Jeff Braciak, , , ,774,774,,,,,,,,,,
45,HS,Michael Woodard, , , ,772,772,,,,,,,,,,
46,BS,Lloyd Koty, ,767, , ,767,,,,,,,,,,
47,BS,Gary Goodrich Jr, , , ,763,763,,,,,,,,,,
48,CSP,Nic Foster, ,761, , ,761,,,,,,,,,,
49,CSP,Shelby Sliker, ,758, , ,758,,,,,,,,,,
50,HS,Richard Brown,757, , , ,757,,,,,,,,,,
51,SM2,Mat Cable, , ,749, ,749,,,,,,,,,,
52,AS,Domingo Favis, ,697, , ,697,,,,,,,,,,
53,DM,Rick Brown, , ,679, ,679,,,,,,,,,,
54,FS,Cheryl Rivera, ,657, , ,657,,,,,,,,,,
55,HS,Mike Wade, , ,644, ,644,,,,,,,,,,
