"Here are the results! We had 67 competitors for the Event, and 34 time onlies.",,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
7,TO,STX,Craig Meyer,01 Ford/Mustang,51.352,(2),49.225, ,51.290, ,48.701, ,48.701, ,38.863, ,952
8,TO,DSP,Ron Terrien,95 Honda/Prelude,47.823, ,49.330, ,47.730, ,51.753,(2),47.730, ,39.043, ,947
9,TO,BS,Dave McCombs,02 Honda/S2000,51.261,(6),47.751,(2),49.272,(4),47.389,(2),47.389, ,39.096, ,946
10,TO,STS,Mark Eddy,00 subaru/impreza,50.306, ,56.282, ,49.875, ,DNS, ,49.875, ,39.102, ,946
11,TO,GS,Chris Sparling,02 Saab/9-3,51.070, ,50.444, ,51.326,(2),53.018,(2),50.444, ,39.447, ,937
12,TO,AS,Steve Thompson,91 Chevrolet/Corvette,48.607, ,49.411,(2),64.882,(2),47.734, ,47.734, ,39.524, ,936
13,TO,DS,Jeff Deerinwater,03 Nissan/Sentra SER Spec V,50.109, ,52.052,(2),52.205,(2),51.103, ,50.109, ,39.837, ,928
14,TO,AS,Sheng-Wen Seow,03 Mitsubishi/Evo 8,55.827,(6),50.453,(2),48.264, ,49.529,(2),48.264, ,39.963, ,925
15,TO,ASP,Merrill Niles,65 ford/cobra,54.461,(4),47.692, ,47.737, ,47.546, ,47.546, ,40.224, ,919
16,TO,CS,John Wisthoff,01 toyota/Mr 2,55.317,(2),52.509,(2),50.089, ,49.813, ,49.813, ,40.548, ,912
17,TO,BS,Brian Malm,86 Porsche/928S,50.234, ,49.274, ,49.673, ,49.350, ,49.274, ,40.651, ,910
18,TO,CS,Mindi Cross,99 Mazda/Miata,50.833, ,50.429, ,50.317, ,52.715,(2),50.317, ,40.958, ,903
19,TO,HS,Chris Peterson,91 Toyota/Celica,55.300, ,54.127, ,53.075, ,52.805, ,52.805, ,41.082, ,900
20,TO,DS,David Vasquez,03 BMW/330i,52.551, ,51.913, ,52.478, ,52.439, ,51.913, ,41.271, ,896
21,TO,GS,Kim Sparling,02 Saab/9-3,54.566, ,DNS, ,54.218, ,52.807, ,52.807, ,41.295, ,896
22,TO,CS,Jason Trible,00 Mazda/Miata,52.919, ,53.206, ,52.059, ,51.810, ,51.810, ,42.173, ,877
23,TO,ASP,Mark Johnson,89 Porsche/944,50.053, ,51.344,(2),52.605,(2),59.035,(2),50.053, ,42.345, ,873
24,TO,STX,Jeff Braciak,01 Pontiac/Firebird,53.399, ,75.820,(20),54.155, ,54.520,(2),53.399, ,42.612, ,868
25,TO,GS,Matt Durban,98 BMW/318ti,57.485,(2),58.456,(2),59.242,(4),54.554, ,54.554, ,42.661, ,867
26,TO,EM,Bill Schroeder,91 Ford/Mustang GT,48.486, ,47.946, ,47.744, ,47.464, ,47.464, ,42.670, ,867
27,TO,SS,Steve Dalbec,03 Chevy/Corvette,58.705,(4),54.407,(2),51.043, ,52.805,(2),51.043, ,42.723, ,866
28,TO,SS,Paul Lialios,02 Chevrolet/Corvette ,53.531, ,52.284, ,73.054,(20),51.155, ,51.155, ,42.817, ,864
29,TO,ASP,David Webb,89 Porsche/944,94.433,(40),51.397, ,52.901, ,72.581,(22),51.397, ,43.482, ,850
30,TO,CM,Bob Walsh,99 Ford/Mustang,49.164, ,48.469, ,49.563, ,49.171, ,48.469, ,44.543, ,830
31,TO,CS,Ralph Prince,99 Mazda/Miata,58.820, ,55.949, ,66.005, ,56.369, ,55.949, ,45.542, ,812
32,TO,SM,George Marstanovic,90 Nissan/240SX,55.369, ,55.467, ,56.349, ,62.524,(4),55.369, ,46.178, ,801
33,TO,AS,Abner Lim,03 mitsubishi/evolution,57.180, ,67.307,(10),56.724, ,77.350,(22),56.724, ,46.967, ,787
34,TO,CSP,Mark Kocsis,99 Mazda/Miata,57.303, ,56.991, ,56.359, ,57.078, ,56.359, ,47.285, ,782
35,TO,ASP,Greg Mondeau,00 BMW/M roadster,57.857, ,56.286, ,56.273, ,56.185, ,56.185, ,47.533, ,778
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
