"Here are the results! We had 72 competitors for the Event, and 37 time onlies.",,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
11,TO,STS,Richard Vela,90 Nissan/240sx,83.667,(24),54.604, ,54.182, ,52.943, ,52.943, ,41.507, ,959
12,TO,STS,Kelly Randall,00 Subaru/Impreza 2.5 RS,93.343,(20),53.530, ,53.699, ,52.971, ,52.971, ,41.529, ,958
13,TO,CSP,Jake Beggy,89 BMW/M3,50.629, ,49.887, ,49.827, ,49.929, ,49.827, ,41.805, ,952
14,TO,BSP,Newton Johnson,91 Corvette/ZR - 1,51.288, ,49.998, ,50.410, ,49.892, ,49.892, ,41.909, ,950
15,TO,DSP,Ron Terrien,95 Honda/Prelude,57.965,(4),52.511, ,61.651,(8),51.749, ,51.749, ,42.331, ,940
16,TO,SM,Larry Petrucci,95 Pontiac Firebird,58.767,(6),51.646, ,50.899, ,54.480,(4),50.899, ,42.450, ,938
17,TO,DSP,Ben Clement,95 Acura/Integra GSR,52.812, ,81.221,(24),60.243, ,52.101, ,52.101, ,42.619, ,934
18,TO,ASP,Keith Lensch,98 chevrolet/corvette,51.999, ,51.590, ,70.532,(20),50.786, ,50.786, ,42.965, ,926
19,TO,ESP,Abraham Jones,00 Chevrolet/Camaro SS,65.830, ,53.053, ,53.008, ,52.115, ,52.115, ,43.047, ,925
20,TO,SM2,Mark Eddy,71 datsun/240z,53.812,(2),51.621, ,51.208, ,50.694, ,50.694, ,43.141, ,923
21,TO,STX,Jeff Braciak,01 Pontiac/Firebird,55.246, ,54.108, ,58.292,(4),54.145, ,54.108, ,43.178, ,922
22,TO,DS,John Ellis,00 Toyota/Celica GT-S,58.138,(2),55.351, ,55.655, ,54.432, ,54.432, ,43.273, ,920
23,TO,STS,Doug Smutnick,02 Subaru WRX,59.219,(2),65.829,(4),55.632, ,55.210, ,55.210, ,43.285, ,920
24,TO,SM2,Harry Berzes,94 Mazda/Miata,50.940, ,52.061, ,51.476, ,51.374, ,50.940, ,43.350, ,918
25,TO,STS,Dennis Lach,99 Acura/Integra,58.258, ,56.610, ,56.963, ,55.423, ,55.423, ,43.452, ,916
26,TO,STX,Fernando Ma,02 Volkswagen/GTI,54.808, ,55.814,(2),56.155,(2),54.461, ,54.461, ,43.460, ,916
27,TO,CS,John Wisthoff,01 toyota/mr 2,53.549, ,55.601,(2),54.463,(2),57.024,(4),53.549, ,43.589, ,913
28,TO,STS,Hunter McDonald,91 Honda/Civic,56.341, ,56.730, ,55.635, ,55.824, ,55.635, ,43.618, ,913
29,TO,STS,Champa Phetsomphou,92 nissan/240sx,56.213, ,56.679, ,56.163, ,55.650, ,55.650, ,43.630, ,912
