"Here are the results! We had 100 competitors for the Event, and 51 time onlies.",,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
7,TO,SS,Joel Schotz,01 CORVETTE/Z06,56.835, ,63.963,(8),59.548,(4),57.966,(2),56.835, ,47.571, ,962
8,TO,AP,Greg Duncan,84 Pontiac/Fiero,55.328, ,63.266,(8),56.688,(2),54.677, ,54.677, ,47.624, ,961
9,TO,SM,Steve Steele,65 Ford/Mustang,64.086,(4),59.095, ,60.730,(2),57.181, ,57.181, ,47.689, ,959
10,TO,GS,Dane Campbell,03 mini/cooperS,63.425,(2),60.998, ,61.529, ,64.856,(4),60.998, ,47.700, ,959
11,TO,SM,Larry Petrucci,95 Pontiac/Formula,58.343, ,58.786,(2),57.209, ,58.793,(2),57.209, ,47.712, ,959
12,TO,CS,Mark Johnson,99 Mazda/Miata,58.650, ,59.232,(2),63.168,(6),63.810,(6),58.650, ,47.741, ,958
13,TO,ESP,Richard Rippy,98 Chevy/Camaro,58.205, ,62.043,(4),60.952,(2),59.036,(2),58.205, ,48.077, ,952
14,TO,BSP,Newton Johnson,91 Corvette/ZR - 1,58.742, ,59.222,(2),57.258, ,60.987,(4),57.258, ,48.097, ,951
15,TO,GS,Chris Sparling,02 Saab/9-3,61.784, ,63.084, ,61.933, ,68.624,(4),61.784, ,48.315, ,947
16,TO,DS,Jay Balducci,02 Subaru/Impreza WRX,64.017,(2),61.348, ,64.564,(2),60.786, ,60.786, ,48.325, ,947
17,TO,ES,Shane Bullis,90 Mazda/Miata,68.864, ,65.878,(2),65.316,(2),60.329, ,60.329, ,48.505, ,943
18,TO,EM,Don Sattler,94 Mazda/Miata,57.590, ,55.496, ,54.969, ,54.247, ,54.247, ,48.768, ,938
19,TO,DSP,Ben Clement,95 Acura/Integra GSR,59.873, ,60.638,(2),96.651,(24),60.249,(2),59.873, ,48.976, ,934
20,TO,FS,Craig Meyer,01 Ford/Mustang,71.123,(8),63.364,(2),64.583,(4),61.737, ,61.737, ,49.760, ,919
21,TO,SS,Ken Feeley,93 Mazda/RX7,60.844, ,63.341,(2),59.665, ,83.510,(22),59.665, ,49.940, ,916
22,TO,CS,John Wisthoff,01 toyota/Mr2,61.730, ,62.438,(2),61.408, ,65.203,(4),61.408, ,49.986, ,915
23,TO,BS,Matt Francis,03 Nissan/350Z Track,62.559, ,66.205,(4),82.684,(20),61.521, ,61.521, ,50.755, ,901
24,TO,DS,Andy Mccutchen,02 Acura/RSX-S,63.995, ,67.189,(4),82.926,(8),65.618, ,63.995, ,50.876, ,899
25,TO,HS,Chris Peterson,91 Toyota/Celica,68.526,(2),70.830,(4),65.537, ,68.912,(4),65.537, ,50.988, ,897
26,TO,AS,Steve Thompson,89 Chevrolet/Corvette,64.157,(2),61.917, ,65.641, ,62.249,(2),61.917, ,51.267, ,892
27,TO,ASP,Keith Lensch,98 chevrolet/corvette,63.879,(2),68.797,(6),87.838,(24),60.690, ,60.690, ,51.344, ,891
28,TO,STX,Jeff Braciak,01 Pontiac/Firebird,67.510,(2),64.341, ,71.235,(6),64.509, ,64.341, ,51.344, ,891
29,TO,DSP,Jeremy Galo,00 Honda/Prelude Type SH,63.753,(2),65.690,(2),63.711,(2),62.784,(2),62.784, ,51.357, ,891
30,TO,EM,David Lahey,94 Mazda/Miata R,67.994,(8),61.480,(6),57.230, ,63.429,(2),57.230, ,51.450, ,889
31,TO,STX,Fernando Ma,02 Volkswagen/GTI,68.405,(6),73.807,(8),64.739, ,72.129,(8),64.739, ,51.662, ,886
32,TO,STX,Jim Knibloe,97 Mitsubishi/Eclipse,65.656, ,66.129, ,64.740, ,65.042, ,64.740, ,51.663, ,886
33,TO,SS,Steven Dalbec,03 Chevrolet/Corvette,68.043, ,62.790, ,65.886,(4),61.795, ,61.795, ,51.722, ,885
34,TO,BS,Brian Malm,86 Porsche/928S,70.082,(6),66.936,(2),63.495, ,62.711, ,62.711, ,51.737, ,884
35,TO,STX,Shawna McHargue,02 VW/GTI,65.480, ,67.282, ,66.510, ,64.919, ,64.919, ,51.805, ,883
36,TO,KT,Michael Roland,02 Rotax/Top Kart,56.143, ,64.128,(4),55.712, ,56.196, ,55.712, ,52.258, ,876
37,TO,ESP,Travis Berry,97 Chevrolet/Camaro Z28,71.280,(6),63.384, ,71.562,(6),66.230,(2),63.384, ,52.355, ,874
38,TO,CP,Jesse Smith,68 chevy/camaro,64.601,(2),68.624,(2),62.647, ,61.570, ,61.570, ,52.519, ,871
39,TO,AP,Merrill Niles,65 ford/cobra,61.474, ,60.465, ,65.990,(4),63.886,(2),60.465, ,52.665, ,869
40,TO,ES,Sheri Marlin,90 Mazda/Miata,66.783, ,67.649,(2),67.189, ,66.272, ,66.272, ,53.283, ,859
41,TO,GS,Rob Michaels,95 Nissan/240SX,68.951, ,68.659, ,69.384, ,68.307, ,68.307, ,53.416, ,857
42,TO,SS,James Feeley,93 Mazda/RX7,68.630, ,90.748,(24),65.366, ,64.057, ,64.057, ,53.616, ,853
43,TO,SM,Brandon Smith,92 Nissan/240SX Turbo,96.414,(20),64.323, ,78.176,(4),69.049,(6),64.323, ,53.645, ,853
44,TO,AS,Dayron Vargas,02 BMW/M3 Convertible,64.896, ,83.984,(20),67.471,(6),DNF, ,64.896, ,53.734, ,851
45,TO,ASP,Greg Mondeau,00 BMW/M roadster,66.152, ,65.505, ,66.564, ,64.120, ,64.120, ,54.246, ,843
46,TO,SM,Brady Dohrmann,95 Nissan/240SX,65.343, ,70.300,(6),65.065, ,65.601, ,65.065, ,54.264, ,843
47,TO,FP,Enrique Aviles,82 Mazda/Rx-7,63.054, ,63.410,(2),65.969,(2),63.959,(2),63.054, ,54.289, ,843
48,TO,ESP,Martin Sector,97 Chevrolet/Camaro Z28,66.351, ,67.769, ,69.612,(4),92.705,(22),66.351, ,54.806, ,835
49,TO,DSP,John Sandoval,02 VW/Jetta GLI,72.543,(2),70.209,(2),69.577, ,68.382, ,68.382, ,55.936, ,818
50,TO,SM,Alfred Trujillo,92 Nissan/240sx,77.697,(8),76.349, ,69.778,(4),70.424,(4),69.778, ,58.195, ,786
51,TO,GS,Mindi Cross,,,,,,,,,,,,,,
David Webb,65 Lotus Elan,,,,,,,,,,,,,,,,
02 Ford/Focus SVT,57.925,,,,,,,,,,,,,,,,
 , ,58.709,,,,,,,,,,,,,,,
 ,(2),,,,,,,,,,,,,,,,
 ,57.275,,,,,,,,,,,,,,,,
