"Here are the results! We had 65 racers for the Event, and 30 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
29,TIME ONLY,HS,DAVID KHA,02 MINI COOPER,70.851, ,69.445, ,67.991, ,68.278, ,67.991, ,52.965,TO,813,,
30,TIME ONLY,CM,SHERYL ZAVION,82 FF,66.420, ,63.427,-2,61.331, ,60.791, ,60.791, ,55.867,TO,771,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,CSP,TIME ONLY,ERIC WILLIAMS,95 MIATA,61.073,,60.408,,DNS,,DNS,,60.408,,50.864,N/A,,,
,BS,TIME ONLY,BILL SPARLING,88 BMW M3,62.386,,66.224,(4),61.704,,DNS,,61.704,,51.029,N/A,,,
,BS,TIME ONLY,JIM O'HARRA,66 LOTUS SUPER 7,63.163,,63.228,,61.863,,62.512,,61.863,,51.161,N/A,,,
,ESP,TIME ONLY,JAMES KNIBLOE,97 ECLIPSE,65.226,(4),64.451,(4),63.118,(2),71.738,(4),63.118,,52.135,N/A,,,
,BM,TIME ONLY,ALEX MAC GILLAVRY,65 MALLOCK U2,79.733,(22),57.377,,55.802,,55.673,,55.673,,52.945,N/A,,,
,ESP,TIME ONLY,MATT EVANS,78 MALIBU,68.082,,65.99,,64.95,,65.166,,64.95,,53.649,N/A,,,
,CS,TIME ONLY,DAVID FELIX,94 MIATA,70.329,(4),92.525,(26),66.235,(2),84.197,(20),66.235,,53.783,N/A,,,
,SS,TIME ONLY,MARY SPARLING,01 BMW M3,70.656,,85.877,(20),83.064,(20),66.696,,66.696,,55.758,N/A,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
