"Here are the results! We had 102 racers for the Event, and 37 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
17,SM,TIME ONLY,GEREN SMITH,02 SUBARU WRX,62.330,-8,72.145,(20),53.321,(2),53.321, ,44.470,TO,917,N/A,,,
18,DSP,TIME ONLY,RON TERRIEN,95 PRELUDE,DNF, ,DNF, ,54.292, ,54.292, ,44.519,TO,916,,,,
19,SS,TIME ONLY,STEVE BURGER,01 CORVETTE,86.408,(22),53.634,(2),56.914,(6),53.634, ,44.838,TO,910,,,,
20,EM,TIME ONLY,TOM HILL,88 FIERO,51.205, ,50.171, ,49.632, ,49.632, ,44.867,TO,909,,,,
21,SM,TIME ONLY,DAVID HARSAY,00 FORD MUSTANG,61.823, ,53.932, ,54.343, ,53.932, ,44.979,TO,907,,,,
22,STX,TIME ONLY,ZACH HANCOCK,02 SUBARU WRX,57.546, ,56.625,(2),56.667, ,56.625, ,45.357,TO,899,,,,
23,CSP,TIME ONLY,TRAVIS HIGDON,88 HONDA CRX Si,76.880,(20),55.908,(4),54.094,(2),54.094, ,45.547,TO,895,,,,
24,ESP,TIME ONLY,LARRY PETRUCCI,99 FIREBIRD,57.578, ,55.442, ,56.844, ,55.442, ,45.795,TO,891,,,,
25,SS,TIME ONLY,KEN FEELEY,93 MAZDA RX7,55.923, ,55.662, ,54.859, ,54.859, ,45.862,TO,889,,,,
26,STX,TIME ONLY,CHUCK LUBIN,02 SUBARU WRX,80.000,(20),58.042, ,57.452, ,57.452, ,46.019,TO,886,,,,
27,SS,TIME ONLY,BOB FRANCIS,99 MIATA,DNF, ,56.042, ,55.134, ,55.134, ,46.092,TO,885,,,,
28,ESP,TIME ONLY,TRAVIS HIGGINS,00 DAKOTA PU,59.101, ,64.065,(2),56.650, ,56.650, ,46.793,TO,872,,,,
29,DSP,TIME ONLY,JEFF MAKOWSKI,94 VW JETTA,57.400, ,58.431, ,57.163, ,57.163, ,46.874,TO,870,,,,
30,FS,TIME ONLY,BRAD PRATHER,02 SUBARU WRX,58.538, ,60.760,(2),59.720,(2),58.538, ,47.357,TO,861,,,,
31,STS,TIME ONLY,SCOTT BREWER,01 INTEGRA LS,84.983,(20),DNF, ,60.624, ,60.624, ,47.529,TO,858,,,,
32,BS,TIME ONLY,TOM LIALIOS,87 PORSCHE 944/T,59.585, ,58.274, ,57.582, ,57.582, ,47.620,TO,856,,,,
33,DS,TIME ONLY,MIKE QUIGLEY,02 SUBARU WRX,60.948,(4),60.346,(2),76.901,(22),60.346, ,48.156,TO,847,,,,
34,SM2,TIME ONLY,ENRIQUE AVILES,82 MAZDA RX7,56.300, ,57.726,(2),66.043,(2),56.300, ,48.193,TO,846,,,,
35,CM,TIME ONLY,ALAN WAGSTAFFE,82 VAN DIEMEN FF,53.491, ,52.527, ,53.071, ,52.527, ,48.272,TO,845,,,,
36,CM,TIME ONLY,SHERYL ZAVION,82 VAN DIEMEN FF,54.282, ,54.465,(2),53.217, ,53.217, ,48.906,TO,834,,,,
37,ES,TIME ONLY,RALPH PRINCE,99 MIATA,DNF, ,64.634,(2),64.114, ,64.114, ,51.419,TO,793,,,,
