"Here are the results!. We had 104 racers for the Morning Event and 76 for the Afternoon Event.",,,,,,,,,,,,,,,,,,,
Morning Event,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
12,DS,DAILY,MARK SIAS,02 SUBARU WRX,93.052,(22),64.44,,92.521,(20),64.44,97,51.423,88,776,,,,
13,FSP,DAILY,ANTONIA DOMINGUEZ,94 INTEGRA GSR,66.474,,65.518,(2),90.532,(24),65.518,100,53.528,97,746,,,,
14,DM,DAILY,ADAM RIVERA,77 VW SCIROCCO,65.655,,60.65,,60.184,,60.184,74,53.804,99,742,,,,
1,GS,NOVICE,AMBER ADRAGNA,90 HONDA ACCORD,63.931,(2),59.504,(2),56.374,,56.374,48,44.254,34,902,,,,
2,GS,NOVICE,BRIAN KOZAN,00 NISSAN ALTIMA,59.866,,58.607,,57.875,,57.875,61,45.432,43,879,,,,
3,FSP,NOVICE,MIKE SHAPIRO,96 HANDA ACCORD,64.697,,57.224,,56.317,,56.317,47,46.011,45,868,,,,
4,FS,NOVICE,CHRIS CARROLL,01 MUSTANG COBRA,60.5,(2),57.715,,57.237,,57.237,53,46.305,48,862,,,,
5,GS,NOVICE,MIKE MORZINSKI,00 INTEGRA,63.66,,60.046,,59.085,,59.085,65,46.382,49,861,,,,
6,CS,NOVICE,JAY FELIX,94 MIATA,61.579,,57.636,,63.531,,57.636,59,46.8,52,853,,,,
7,CS,NOVICE,DAVID FELIX,94 MIATA,DNF,,60.58,,57.938,,57.938,62,47.046,54,849,,,,
8,GS,NOVICE,FRANK JUDNICK,01 PONTIAC GTP,65.815,,61.837,,60.002,,60.002,72,47.102,56,848,,,,
9,DSP,NOVICE,JEFF MAKOWSKI,94 VW JETTA,66.357,,59.891,,57.604,,57.604,58,47.235,58,845,,,,
10,DS,NOVICE,MICHAEL NELSON,00 HONDA PRELUDE,59.372,,79.936,(20),61.147,(2),59.372,67,47.379,61,843,,,,
11,ES,NOVICE,JACE KELLEY,98 ECLIPSE,65.297,(2),59.952,,59.319,,59.319,66,47.574,64,839,,,,
12,HS,NOVICE,RISHI MOHINDRA,01 FORD FOCUS,66.358,,63.485,,62.053,,62.053,90,48.339,68,826,,,,
13,STS,NOVICE,JOE ADRAGNA,90 HONDA ACCORD,83.502,(20),65.064,,62.26,,62.26,91,48.812,70,818,,,,
14,DS,NOVICE,RICK SKOWRON,01 HONDA PRELUDE,72.219,(2),63.238,,61.391,,61.391,84,48.99,72,815,,,,
15,CS,NOVICE,ANTHONY HESS,99 MIATA,61.724,,86.129,(24),60.352,,60.352,76,49.006,73,815,,,,
16,FM,NOVICE,TERRY MURRAY,78 FORMULA VEE,63.255,,58.129,,55.084,,55.084,42,49.41,77,808,,,,
17,DSP,NOVICE,GERRY REYNOLDS,88 BMW 325is,60.405,,79.831,,64.767,(2),60.405,78,49.532,79,806,,,,
18,DSP,NOVICE,LARRY GOWEN,93 S10 PUP,65.528,,62.731,,61.138,,61.138,81,50.133,83,796,,,,
19,HS,NOVICE,JIM FLETCHER,97 INTREPID,69.118,,66.516,,64.747,,64.747,98,50.438,84,792,,,,
20,ESP,NOVICE,GARY MOORE,97 MUSTANG,84.15,(20),81.643,(20),61.665,,61.665,87,50.935,85,784,,,,
21,ESP,NOVICE,TROY BILSE,00 DAKOTA R/T,73.593,,65.066,(2),61.909,,61.909,88,51.137,86,781,,,,
22,ESP,NOVICE,TRAVIS HIGGINS,00 DAKOTA R/T,69.189,,63.009,,62.316,,62.316,92,51.473,89,776,,,,
23,CSP,NOVICE,GEOFFREY PANGRAC,01 MIATA,68.408,,61.295,,61.589,(2),61.295,82,51.61,90,774,,,,
24,CSP,NOVICE,JUSTIN SHOOK,84 MAZDA RX-7,65.757,,DNF,,61.622,,61.622,86,51.886,92,769,,,,
25,CS,NOVICE,ADAM SPORLEDER,99 MIATA,72.166,,DNF,,65.165,,65.165,99,52.914,95,755,,,,
26,ESP,NOVICE,ADAM GOOLLEY,00 DAKATO R/T,70.376,,66.192,,64.248,,64.248,96,53.069,96,752,,,,
27,CSP,NOVICE,ROBERT ROSE,97 MIATA,90.886,(20),68.626,,63.937,,63.937,95,53.835,100,742,,,,
28,CS,NOVICE,KATHY PRINCE,99 MIATA,91.367,(20),69.915,,84.514,,69.915,102,56.771,101,703,,,,
29,EP,NOVICE,GREGORY BREWER,90 NISSAN 300ZX TT,67.704,,DNF,,67.799,,67.704,101,58.767,102,679,,,,
30,DM,NOVICE,FERNADO BONZALEZ,60 AUSTIN HEALEY,DNF,,77.331,(20),83.214,(20),77.331,104,69.134,104,577,,,,
Afternoon Event,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
1,SS,OPEN,STEVE BURGER,01 CORVETTE,48.924,,47.299,,47.385,,47.299,1,39.542,1,1000,,,,
2,SS,OPEN,MARC MCCOMBS,01 CORVETTE,47.581,,53.552,(6),47.628,,47.581,2,39.778,2,994,,,,
3,SS,OPEN,JOEL SCHOTZ,01 CORVETTE,49.413,,48.730,,48.766,,48.730,8,40.738,8,971,,,,
4,SS,OPEN,BOB FRANCIS,02 CORVETTE,61.111,(4),56.458,,56.592,,56.458,48,47.199,49,838,,,,
1,AS,OPEN,STEVE RYAN,91 CORVETTE,50.620,,50.063,,49.705,,49.705,11,41.156,13,961,,,,
1,BS,OPEN,DAVE MCCOMBS,02 HONDA S2000,49.366,,48.737,,57.316,,48.737,9,40.305,5,981,,,,
2,BS,OPEN,DAVE SKULL,98 BMW M3,52.765,,51.583,,51.180,,51.180,18,42.326,23,934,,,,
3,BS,OPEN,ABRAHAM JONES,00 CAMARO SS,52.967,,52.061,,52.334,,52.061,22,43.054,28,918,,,,
4,BS,OPEN,JP BRUCE,00 PORSCHE BOXSTER,61.698,,62.760,,59.307,,59.307,60,49.047,61,806,,,,
1,CS,OPEN,JIM O'HARRA,66 LOTUS/7,56.670,,55.325,,53.963,,53.963,36,43.818,34,902,,,,
2,CS,OPEN,JASON TRIBLE,00 MIATA,55.567,,54.374,,55.881,,54.374,37,44.152,36,896,,,,
1,DS,OPEN,TRAVIS HIGDON,98 INTEGRA TYPE R,52.749,,52.742,(2),55.100,(4),52.742,28,42.088,19,940,,,,
1,ES,OPEN,RICHARD HARRIS,86 TOYOTA MR2,52.494,,52.475,,52.319,,52.319,24,41.960,18,942,,,,
2,ES,OPEN,TERRY KISE,84 MAZDA RX-7,56.171,(2),53.236,,52.594,,52.594,25,42.180,21,937,,,,
1,FS,OPEN,WIGGY GREACEN,02 CAMARO Z28,50.867,,50.180,,53.314,(2),50.180,12,40.596,7,974,,,,
2,FS,OPEN,DON HYLAND,00 CAMARO Z28,51.919,,51.766,,51.102,,51.102,16,41.342,14,956,,,,
1,GS,OPEN,KRIS TVEDT,95 NEON,52.856,,52.193,,54.251,(2),52.193,23,40.972,10,965,,,,
2,GS,OPEN,CHRIS SPARLING,02 SAAB 9-3,55.502,,55.030,,54.837,,54.837,39,43.047,26,919,,,,
1,HS,OPEN,DAVID CRUSOE,95 HONDA CIVIC Si,54.981,,54.570,,52.712,,52.712,27,41.063,11,963,,,,
2,HS,OPEN,ERIC EVANS,92 TAURUS,54.157,,53.608,,57.749,(4),53.608,33,41.761,17,947,,,,
3,HS,OPEN,BUD ADELMAN,88 MAZDA 626,62.795,(4),57.335,,55.526,,55.526,41,43.255,29,914,,,,
1,ASP,OPEN,TED LEWIS,65 LOTUS ELAN,50.480,(2),48.155,,DNS,,48.155,3,40.739,9,971,,,,
1,CSP,OPEN,TYLER THOMPSON,01 AUDI TT,53.414,,52.197,,51.465,,51.465,20,43.334,31,912,,,,
1,ESP,OPEN,RICHARD RIPPY,98 CAMARO,61.343,,51.349,,51.388,,51.349,19,42.414,24,932,,,,
2,ESP,OPEN,DAVID MINGUS,00 DAKOTA,53.760,,54.245,(2),52.866,,52.866,29,43.667,32,906,,,,
3,ESP,OPEN,ERIC ENCINAS,82 MUSTANG,61.183,(2),58.671,,57.439,,57.439,52,47.445,52,833,,,,
4,ESP,OPEN,DAYLE GRAY,92 TOYOTA SOARER,81.911,(20),60.415,,59.680,,59.680,62,49.296,62,802,,,,
1,AP,OPEN,GREG DUNCAN,84 FIERO,50.021,,48.314,,48.704,,48.314,5,42.226,22,936,,,,
2,AP,OPEN,TOM HILL,84 FIERO,49.538,,48.546,,48.783,,48.546,7,42.429,25,932,,,,
1,CP,OPEN,BOB WALSH,99 MUSTANG,54.036,,53.649,,52.872,,52.872,30,45.153,39,876,,,,
2,CP,OPEN,KENNY SMITH,68 CAMARO,54.784,,53.916,,53.922,,53.916,35,46.044,43,859,,,,
1,DM,OPEN,JOE CURRY,63 TRUIMPH SPITFIRE,48.437,,56.570,(4),49.577,,48.437,6,43.303,30,913,,,,
2,DM,OPEN,RALPH PRINCE,60 AUSTIN HEALEY,54.121,,53.372,,52.953,,52.953,32,47.340,51,835,,,,
3,DM,OPEN,RINK REINKING,58 PORSCHE 356,55.396,,56.216,(2),53.724,,53.724,34,48.029,56,823,,,,
4,DM,OPEN,MICHAEL OBERSTAR,91 VW GTI,57.238,,57.453,,57.864,,57.238,51,51.171,69,773,,,,
1,EM,OPEN,BRIAN MALM,90 CORVARRI,54.374,(2),53.353,(2),51.179,,51.179,17,46.266,45,855,,,,
1,STS,OPEN,DAVID ROCK,00 CELICA GTS,52.239,,51.030,,51.142,,51.030,15,40.008,3,988,,,,
2,STS,OPEN,MARK EDDY,00 SUBARU IMPREZA,51.485,,51.564,,58.114,(2),51.485,21,40.364,6,980,,,,
3,STS,OPEN,JONATHAN EDDY,00 SUBARU IMPREZA,52.890,,52.907,,54.766,,52.890,31,41.466,15,954,,,,
4,STS,OPEN,MIKE JAMES,98 VW PASSAT,57.149,,56.269,,55.854,,55.854,43,43.790,33,903,,,,
1,STX,OPEN,MARK GOERNER,01 INTEGRA TYPE R,53.704,,52.782,,52.651,,52.651,26,42.173,20,938,,,,
2,STX,OPEN,MICHAEL VEALE,02 SUBARU WRX,59.640,,57.143,,54.998,,54.998,40,44.053,35,898,,,,
1,SM,OPEN,DAVE YOUNG,02 BMW M3,52.197,(2),49.169,,48.306,,48.306,4,40.287,4,982,,,,
2,SM,OPEN,STEVE STEELE,65 MUSTANG,52.307,,50.146,,49.294,,49.294,10,41.111,12,962,,,,
1,SM2,OPEN,HARRY BERZES,94 MIATA,53.585,,51.022,,50.296,,50.296,13,43.053,27,918,,,,
1,KT,OPEN,KAYLA SMITH,00 COBRA JR KART,69.567,,68.388,,70.113,,68.388,76,55.736,76,709,,,,
1,GS,LADIES,LORI EHMAN,98 MAXIMA SE,62.958,,60.728,,60.755,,60.728,64,47.671,53,829,,,,
2,BS,LADIES,ADINA EVANSON,95 BMW M3,63.099,,60.883,,62.801,,60.883,65,50.350,67,785,,,,
3,ESP,LADIES,KRISTI SACKETT,91 MUSTANG,66.344,,62.025,,62.259,,62.025,67,51.233,70,772,,,,
4,KT,LADIES,RONDA SMITH,00 EMMICK KART,82.235,(20),59.292,,57.925,,57.925,54,47.209,50,838,,,,
1,BS,DAILY,TAGE EVANSON,95 BMW M3,51.141,,73.281,(10),50.320,,50.320,14,41.615,16,950,,,,
2,GS,DAILY,ART EHMAN,98 MAXIMA SE,57.814,,57.792,,59.317,(2),57.792,53,45.367,40,872,,,,
3,ESP,DAILY,STEVE FELDE,93 MUSTANG SVT,57.664,,55.826,,55.611,,55.611,42,45.935,42,861,,,,
4,GS,DAILY,SPENCER YARTER,99 GRAND PRIX,61.508,,59.172,,58.838,,58.838,59,46.188,44,856,,,,
5,ESP,DAILY,KRIS WACHALA,91 MUSTANG,DNF,,58.091,,56.075,,56.075,44,46.318,46,854,,,,
6,ESP,DAILY,DOUG EVANS,99 CAMARO Z28,56.134,,60.042,,56.537,,56.134,45,46.367,47,853,,,,
7,FSP,DAILY,ANTONIA DOMINGUEZ,94 INTEGRA GSR,60.373,,62.832,(2),59.780,,59.780,63,48.840,58,810,,,,
8,DS,DAILY,MARK SIAS,02 SUBARU WRX,66.843,,64.148,,62.459,,62.459,69,49.842,65,793,,,,
9,HS,DAILY,NITIN PATEL,89 HONDA ACCORD,66.605,,64.605,,65.201,,64.605,72,50.327,66,786,,,,
10,DM,DAILY,ADAM RIVERA,77 VW SCIROCCO,63.049,,63.359,(2),59.679,,59.679,61,53.353,72,741,,,,
1,GS,NOVICE,AMBER ADRAGNA,90 HONDA ACCORD,58.040,(2),59.527,(4),56.253,,56.253,46,44.159,37,895,,,,
2,FSP,NOVICE,MIKE SHAPIRO,96 HONDA ACCORD,56.652,,55.721,,54.555,,54.555,38,44.571,38,887,,,,
3,FS,NOVICE,CHRIS CARROLL,01 MUSTANG COBRA,64.635,,56.755,,57.699,,56.755,49,45.915,41,861,,,,
4,ES,NOVICE,JACE KELLEY,98 ECLIPSE,60.099,,58.118,,60.671,(2),58.118,56,46.611,48,848,,,,
5,DSP,NOVICE,JEFF MAKOWSKI,94 VW JETTA,59.418,,58.611,,58.276,,58.276,58,47.786,54,827,,,,
6,CSP,NOVICE,ROBERT ROSE,97 MIATA,59.562,,57.368,,56.931,,56.931,50,47.936,55,825,,,,
7,AS,NOVICE,BRIAN KOZAN,00 ALTIMA,58.974,,60.241,(2),58.192,,58.192,57,48.183,57,821,,,,
8,CSP,NOVICE,GEOFFREY PANGRAC,02 MIATA,60.639,,58.037,,59.422,(2),58.037,55,48.867,59,809,,,,
9,HS,NOVICE,JIM FLETCHER,97 INTREPID,67.234,,63.911,,62.906,,62.906,70,49.004,60,807,,,,
10,GS,NOVICE,MIKE HARDY,83 TOYOTA SUPRA,67.488,,63.016,,63.579,,63.016,71,49.468,63,799,,,,
11,DS,NOVICE,RICK SKOWRON,01 HONDA PRELUDE,81.795,(20),85.879,(24),62.132,(2),62.132,68,49.581,64,798,,,,
12,FM,NOVICE,TERRY MURRAY,78 FORMULA VEE,DNF,,58.042,,56.358,,56.358,47,50.553,68,782,,,,
13,CS,NOVICE,KATHY PRINCE,99 MIATA,89.540,(22),75.317,(6),65.484,,65.484,74,53.173,71,744,,,,
14,EP,NOVICE,GREGORY BREWER,90 NISSAN 300ZX,61.545,,62.280,,62.297,,61.545,66,53.421,73,740,,,,
15,BSP,NOVICE,JEFF B,98 TOYOTA SUPRA,91.344,(22),65.284,,84.092,(22),65.284,73,54.839,74,721,,,,
16,CS,NOVICE,ADAM SPORLEDER,99 MIATA,68.284,,92.599,(26),79.747,(6),68.284,75,55.447,75,713,,,,
