"Here are the results! We had 45 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
30,TO,FS,Matthew White,06 FORD/MUSTANG GT,44.739, ,47.049,(4),43.096, ,50.405,(6),43.096, ,34.692, ,812,,
31,TO,BS,Brian Malm,86 Porsche/928s,43.017,(2),46.560,(6),42.312,(2),47.678,(6),42.312, ,34.780, ,810,,
32,TO,STS,Conan Song,95 Nissan/200SX,45.672, ,45.191, ,43.898, ,46.580,(2),43.898, ,34.987, ,805,,
33,TO,SM2,Frank Peebles,93 Toyota/MR2,43.554, ,41.145, ,41.456, ,42.878, ,41.145, ,35.138, ,801,,
34,TO,SS,Zach Heidepriem,94 Mazda/RX7,41.832, ,DNS, ,DNS, ,DNS, ,41.832, ,35.139, ,801,,
35,TO,CS,Ralph Prince,99 Mazda/Miata,58.372,(6),64.396,(20),43.821, ,45.328, ,43.821, ,35.626, ,790,,
36,TO,STU,Scott Douglas,06 Subaru/WRX,73.357,(20),44.495,(4),53.867, ,DNS, ,44.495, ,36.486, ,772,,
37,TO,STU,Chris Lampe,05 Subaru/Impreza WRX STi,47.949,(8),DNS, ,DNS, ,DNS, ,47.949, ,39.318, ,716,,
38,TO,FS,Shaddrick Holt,06 pontiac/GTO,66.115,(20),68.728,(20),80.524,(24),68.382,(22),66.115, ,53.223, ,529,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
