"Here are the results! We had 64 competitors for the Event, and 37 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
7,TO,AS,Joel Schotz,04 Honda/S2000,DNF, ,55.939, ,55.331, ,62.418,(6),55.196, ,55.196, ,45.868, ,982
8,TO,SS,Newton Johnson,04 Corvette/Z06,55.387, ,56.801,(2),54.789, ,54.980, ,55.687, ,54.789, ,46.023, ,978
9,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,57.762, ,58.876, ,58.855, ,DNS, ,DNS,(2),57.762, ,46.036, ,978
10,TO,STU,Chris Groppi,04 Subaru/WRX STi,58.166, ,58.709, ,57.938, ,57.219, ,59.259, ,57.219, ,46.920, ,960
11,TO,ES,Greg Toy,95 Toyota/MR2 #182,61.152, ,60.446, ,58.522, ,59.561, ,60.776,(2),58.522, ,47.169, ,955
12,TO,STX,James Carter,04 Subaru/WRX,60.606, ,58.941, ,59.752, ,58.720, ,60.555,(2),58.720, ,47.211, ,954
13,TO,STX,Brandon Guerra,04 VW/R32,63.085, ,61.186, ,65.019,(4),63.019,(2),58.841, ,58.841, ,47.308, ,952
14,TO,GS,Kris Tvedt,03 /,63.475,(2),60.564, ,DNS, ,DNS, ,DNS, ,60.564, ,48.088, ,936
15,TO,EM,Greg Duncan,84 Pontiac/Fiero,55.576, ,DNF, ,55.302, ,55.078, ,57.690,(2),55.078, ,48.524, ,928
16,TO,GS,Chris Sparling,02 Saab/9-3,61.391, ,61.721, ,61.953, ,DNS, ,DNS, ,61.391, ,48.744, ,924
17,TO,ASP,Keith Lensch,98 CHEVROLET/CORVETTE,57.501, ,59.895,(2),77.413,(20),58.833,(2),DNF, ,57.501, ,48.991, ,919
18,TO,BS,Derek Low,05 Mazda/RX-8,62.656, ,60.094, ,62.990,(2),62.652,(2),62.800,(2),60.094, ,49.397, ,912
19,TO,DS,William Blocker,05 Dodge/Neon SRT-4 ACR,66.464,(2),64.652, ,82.903,(20),64.627, ,62.004, ,62.004, ,49.479, ,910
20,TO,FSP,Zack Heidepriem,90 Subaru Legacy,64.846,(2),63.393,(2),61.800, ,61.492, ,61.227, ,61.227, ,49.839, ,903
21,TO,FSP,Siho Lee,90 Subaru Legacy,64.512, ,62.454, ,62.098, ,61.572, ,62.498, ,61.572, ,50.120, ,898
